# file...... IEEE_13_house_transformer_power.csv
# date...... Fri Mar 30 15:20:08 2012
# user...... D3X593
# host...... (null)
# target.... transformer 24
# trigger... (none)
# interval.. 60
# limit..... 38880
# timestamp,power_in.real,power_in.imag
2009-07-01 00:00:00 MDT,+71375.6,-462808
2009-07-01 00:01:00 MDT,+71113.5,-462811
2009-07-01 00:02:00 MDT,+71072,-462812
2009-07-01 00:03:00 MDT,+70966.5,-462813
2009-07-01 00:04:00 MDT,+70919.3,-462814
2009-07-01 00:05:00 MDT,+169198,+28808.9
2009-07-01 00:06:00 MDT,+186192,+35583.3
2009-07-01 00:07:00 MDT,+166174,+31379.7
2009-07-01 00:08:00 MDT,+67633.6,+6733.63
2009-07-01 00:09:00 MDT,+67981.3,+8008.65
2009-07-01 00:10:00 MDT,+85441.6,+12543.9
2009-07-01 00:11:00 MDT,+85443.3,+12544.3
2009-07-01 00:12:00 MDT,+59049.8,+5751.4
2009-07-01 00:13:00 MDT,+36473.5,+2354.11
2009-07-01 00:14:00 MDT,+53311.5,+6701.86
2009-07-01 00:15:00 MDT,+63499.5,+9423.51
2009-07-01 00:16:00 MDT,+66737,+10269.3
2009-07-01 00:17:00 MDT,+136939,+28641.9
2009-07-01 00:18:00 MDT,+146123,+31035.8
2009-07-01 00:19:00 MDT,+129228,+26594.7
2009-07-01 00:20:00 MDT,+52080.7,+6635.9
2009-07-01 00:21:00 MDT,+26367.5,+82.865
2009-07-01 00:22:00 MDT,+26367.5,+82.865
2009-07-01 00:23:00 MDT,+30916.9,+1245.12
2009-07-01 00:24:00 MDT,+45234.1,+4905.43
2009-07-01 00:25:00 MDT,+62961.6,+9524.08
2009-07-01 00:26:00 MDT,+74241.4,+12435.5
2009-07-01 00:27:00 MDT,+87178.5,+15795.2
2009-07-01 00:28:00 MDT,+76143,+13013.7
2009-07-01 00:29:00 MDT,+137328,+29071.8
2009-07-01 00:30:00 MDT,+135070,+28474.7
2009-07-01 00:31:00 MDT,+121896,+24999.9
2009-07-01 00:32:00 MDT,+71044.6,+11764.2
2009-07-01 00:33:00 MDT,+45835.3,+5332.64
2009-07-01 00:34:00 MDT,+36120.9,+2850.24
2009-07-01 00:35:00 MDT,+47676,+5796.2
2009-07-01 00:36:00 MDT,+56911.6,+8197.7
2009-07-01 00:37:00 MDT,+44789.1,+5124.83
2009-07-01 00:38:00 MDT,+65743.5,+10528.9
2009-07-01 00:39:00 MDT,+91732.7,+17350.1
2009-07-01 00:40:00 MDT,+113160,+22977
2009-07-01 00:41:00 MDT,+150624,+32781.1
2009-07-01 00:42:00 MDT,+147030,+31829
2009-07-01 00:43:00 MDT,+120989,+24940.1
2009-07-01 00:44:00 MDT,+61572.5,+9498.71
2009-07-01 00:45:00 MDT,+37459.8,+3321.88
2009-07-01 00:46:00 MDT,+37386.4,+3321.52
2009-07-01 00:47:00 MDT,+36693.3,+3161.94
2009-07-01 00:48:00 MDT,+40964.4,+4259.73
2009-07-01 00:49:00 MDT,+68158.4,+11264.8
