# file...... IEEE_13_house_transformer_power_2.csv
# date...... Mon Apr 09 14:20:24 2012
# user...... sing463
# host...... (null)
# target.... transformer 25
# trigger... (none)
# interval.. 60
# limit..... 38880
# timestamp,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_out_A.real,power_out_A.imag,power_out_B.real,power_out_B.imag,power_out_C.real,power_out_C.imag,power_losses_A.real,power_losses_A.imag
2010-12-25 00:00:00 PST,+226045,-146370,+242756,-147329,+142285,-151955,+226040,-146402,+242751,-147364,+142282,-151974,+4.78634,+31.9089
2010-12-25 00:01:00 PST,+225887,-146380,+242484,-147341,+142221,-151955,+225882,-146412,+242479,-147376,+142218,-151974,+4.78185,+31.879
2010-12-25 00:02:00 PST,+226059,-146274,+242404,-147346,+142055,-151960,+226054,-146306,+242399,-147381,+142052,-151979,+4.78492,+31.8994
2010-12-25 00:03:00 PST,+225772,-146289,+242105,-147360,+141808,-151967,+225767,-146321,+242100,-147395,+141805,-151986,+4.77664,+31.8443
2010-12-25 00:04:00 PST,+221197,-146514,+246556,-143727,+141484,-151940,+221192,-146545,+246550,-143763,+141481,-151959,+4.64603,+30.9735
2010-12-25 00:05:00 PST,+281474,-127408,+334451,-113124,+221630,-128144,+281467,-127450,+334443,-113179,+221626,-128173,+6.30037,+42.0025
2010-12-25 00:06:00 PST,+257955,-128892,+319608,-113999,+221681,-127911,+257949,-128929,+319600,-114050,+221676,-127939,+5.48816,+36.5877
2010-12-25 00:07:00 PST,+246335,-131149,+299119,-116868,+216396,-127975,+246330,-131183,+299113,-116913,+216392,-128003,+5.14013,+34.2675
2010-12-25 00:08:00 PST,+204841,-141268,+231579,-133921,+195014,-132735,+204837,-141295,+231574,-133953,+195011,-132760,+4.08648,+27.2432
2010-12-25 00:09:00 PST,+205436,-139361,+187473,-146922,+164984,-139113,+205432,-139388,+187470,-146947,+164981,-139134,+4.06727,+27.1151
2010-12-25 00:10:00 PST,+201017,-137267,+185867,-146191,+183221,-132150,+201013,-137293,+185863,-146216,+183218,-132173,+3.91051,+26.0701
2010-12-25 00:11:00 PST,+200894,-137097,+185547,-146196,+164933,-135511,+200891,-137123,+185543,-146220,+164930,-135531,+3.90418,+26.0278
2010-12-25 00:12:00 PST,+180945,-140511,+180691,-146011,+137575,-143610,+180941,-140534,+180687,-146034,+137572,-143627,+3.46396,+23.0931
2010-12-25 00:13:00 PST,+148623,-149982,+159829,-147914,+112566,-150898,+148620,-150002,+159826,-147935,+112564,-150913,+2.9425,+19.6167
