#IEEE load value of 20000 + j10000
2000-01-01 0:00:00, 2000 + 1000j

+1h, 1000 + 500j
+1h, 5000 + 2500j
+1h, 4000 + 2000j
+1h, 3000 + 1500j
+1h, 4000 + 2000j
+1h, 15000 + 7500j
+1h, 18000 + 9000j
+1h, 20000 + 10000j
+1h, 10000 + 5000j
+1h, 8000 + 4000j
+1h, 7000 + 3500j
+1h, 7000 + 3500j
+1h, 10000 + 5000j
+1h, 12000 + 6000j
+1h, 14000 + 7000j
+1h, 14000 + 7000j
+1h, 16000 + 8000j
+1h, 18000 + 9000j
+1h, 20000 + 10000j
+1h, 20000 + 10000j
+1h, 15000 + 7500j
+1h, 10000 + 5000j
+1h, 8000 + 4000j
+1h, 4000 + 2000j
