# file...... house_out.csv
# date...... Fri Jun 04 15:56:29 2010
# user...... fish334
# host...... (null)
# target.... house 3
# trigger... (none)
# interval.. 3600
# limit..... 24
# timestamp,outdoor_temperature,outdoor_rh
2001-01-01 00:00:00 PST,+50,+5
2001-01-01 01:00:00 PST,+62,+16
2001-01-01 02:00:00 PST,+78,+12
2001-01-01 03:00:00 PST,+70,+10
2001-01-01 04:00:00 PST,+51.2,+6
2001-01-01 05:00:00 PST,+63,+15
2001-01-01 06:00:00 PST,+36,+30
2001-01-01 07:00:00 PST,+34,+30
2001-01-01 08:00:00 PST,+31,+50
2001-01-01 09:00:00 PST,+36,+60
2001-01-01 10:00:00 PST,+45,+80
2001-01-01 11:00:00 PST,+26,+90
2001-01-01 12:00:00 PST,+25,+23
2001-01-01 13:00:00 PST,+87,+1
2001-01-01 14:00:00 PST,+65,+2
2001-01-01 15:00:00 PST,+39,+54
2001-01-01 16:00:00 PST,+41,+68
2001-01-01 17:00:00 PST,+78,+32
2001-01-01 18:00:00 PST,+98,+25
2001-01-01 19:00:00 PST,+21,+45
2001-01-01 20:00:00 PST,+54,+36
2001-01-01 21:00:00 PST,+58,+6
2001-01-01 22:00:00 PST,+76,+9
2001-01-01 23:00:00 PST,+23,+10
