# file...... climate_out.csv
# date...... Fri Jun 04 15:56:29 2010
# user...... fish334
# host...... (null)
# target.... climate 1
# trigger... (none)
# interval.. 3600
# limit..... 120
# timestamp,temperature,humidity
2001-01-01 00:00:00 PST,+50,+0.05
2001-01-01 01:00:00 PST,+62,+0.16
2001-01-01 02:00:00 PST,+78,+0.12
2001-01-01 03:00:00 PST,+70,+0.1
2001-01-01 04:00:00 PST,+51.2,+0.06
2001-01-01 05:00:00 PST,+63,+0.15
2001-01-01 06:00:00 PST,+36,+0.3
2001-01-01 07:00:00 PST,+34,+0.3
2001-01-01 08:00:00 PST,+31,+0.5
2001-01-01 09:00:00 PST,+36,+0.6
2001-01-01 10:00:00 PST,+45,+0.8
2001-01-01 11:00:00 PST,+26,+0.9
2001-01-01 12:00:00 PST,+25,+0.23
2001-01-01 13:00:00 PST,+87,+0.01
2001-01-01 14:00:00 PST,+65,+0.02
2001-01-01 15:00:00 PST,+39,+0.54
2001-01-01 16:00:00 PST,+41,+0.68
2001-01-01 17:00:00 PST,+78,+0.32
2001-01-01 18:00:00 PST,+98,+0.25
2001-01-01 19:00:00 PST,+21,+0.45
2001-01-01 20:00:00 PST,+54,+0.36
2001-01-01 21:00:00 PST,+58,+0.06
2001-01-01 22:00:00 PST,+76,+0.09
2001-01-01 23:00:00 PST,+23,+0.1
